tconst,primaryTitle,startYear,runtimeMinutes,genres,director_name
tt37520117,Maya - Tamil,2026,137,Horror,Sanjay Niranjan
tt39112934,The Game 2 Its Happening,2026,,Horror,Irina van den Elzen
tt30887701,Pinocchio: Unstrung,2026,,"Fantasy,Horror,Thriller",Rhys Frake-Waterfield
tt39300011,Children of Beltane,2026,112,Horror,Teddy Saxon
tt39245815,Tell Me Some Creepier Stories,2026,,Horror,Sunita Soliar
tt11026686,Kathanar - The Wild Sorcerer,2026,,"Drama,Fantasy,Horror",Rojin Thomas
tt39518311,Still on Strings,2026,,Horror,Samuele Locci
tt35667193,The Veil of Silence,2026,90,Horror,Adam
tt39245815,Tell Me Some Creepier Stories,2026,,Horror,Tizian Herzberger
tt39227433,Death House,2026,,Horror,Mak Pichjuli
tt39018552,Alas Roban,2026,111,"Drama,Horror,Mystery",Hadrah Daeng Ratu
tt39372522,Forever My Lady,2026,,"Horror,Thriller",Mann Robinson
tt33015027,The Abomination of Frankenstein,2026,,"Horror,Sci-Fi,Thriller",Eric Yoder
tt39377057,Death Came Knocking,2026,,"Horror,Thriller",Eric Yoder
tt38599476,Say Cheese,2026,,Horror,Frank Palangi
tt30780871,Mamochka,2026,96,"Horror,Thriller",Vilan Trub
tt39427952,AbSolved,2026,,"Drama,Horror,Mystery",Jamie Lockhart
tt27790748,The Girl Inside the Photograph,2026,108,"Horror,Sci-Fi",Ed Alexander
tt34977065,Diary of a Serial Killer,2026,,Horror,Ricky Garcia
tt33096650,Grind,2026,144,"Comedy,Horror,Sci-Fi",Chelsea Stardust
tt11343374,Parlour,2026,,Horror,Dustin Hubbard
tt39304637,Beyond Mamushi,2026,,Horror,M W Daniels
tt35257441,Shakti Shalini,2026,,"Comedy,Horror",Ajitpal Singh
tt35007241,The End of the Punchline,2026,72,"Comedy,Drama,Horror",Edward Acosta
tt12631534,Rosie: The Saffron Chapter,2026,120,"Horror,Mystery,Thriller",Vishal Mishra
tt32474264,Korean Kanakaraju,2026,,"Comedy,Horror",Merlapaka Gandhi
tt39366957,Double,2026,,Horror,Joey Mosca
tt30971468,Voodoo: The Truth,2026,90,"Comedy,Horror,Sci-Fi",Jay Ed Moore
tt13648440,Prey,2026,,"Action,Horror",Frank Magree
tt39401002,Pan Yao Xie,2026,83,"Horror,Mystery,Thriller",Cong Zhao
tt29540862,Bhooth Bangla,2026,,"Comedy,Horror",Abilash Nair
tt37787385,Exhibition of Evil,2026,,Horror,Jackson Batchelor
tt33317100,Velvicide,2026,,"Horror,Thriller",Kenneth Perkins
tt29063556,Love Bites,2026,60,"Horror,Romance",Titeänyä Rodríguez
tt29244162,"Red Light, Green Light",2026,,"Comedy,Drama,Horror",Titeänyä Rodríguez
tt29606701,Lovers Lake,2026,,"Horror,Romance",Titeänyä Rodríguez
tt29704967,VIX,2026,,"Action,Drama,Horror",Titeänyä Rodríguez
tt17061792,Zoners,2026,,"Horror,Sci-Fi",Stephan Zlotescu
tt11487742,The Evil Within,2026,,"Horror,Thriller",Adrian Rose
tt37595847,Zillia,2026,,Horror,Natalya Vorozhbit
tt14619456,Faces of Death,2026,,Horror,Daniel Goldhaber
tt11362206,Plaguepits: The Torture Dead,2026,80,Horror,Peter Thorndike
tt37481489,Bhooteshwar,2026,,Horror,Sanjay Niranjan
tt33094233,Scream Lives,2026,60,"Horror,Mystery,Thriller",Joshua Tsang
tt39397089,Fire Alive,2026,93,Horror,James Demitri
tt11363384,The Wolf Will Tear Your Immaculate Hands,2026,,"Drama,Horror",Nathalie Álvarez Mesén
tt35005126,Beware the creepypasta curse,2026,,"Comedy,Horror,Mystery",Piper Hallowell
tt39392225,The Stain,2026,,Horror,Pond Krisda Witthayakhajorndet
tt29762861,Vampires of the Velvet Lounge,2026,105,"Comedy,Horror",Adam Sherman
